genero;cantor;album;ano;titulo_musica;compositor;letra
sertanejo;Marília Mendonça;Todos Os Cantos;2019;Ciumeira;GUILHERME FERRAZ,Sando Neto,Everton Matos,DIEGO FERRARI,PAULO PIRES,Ray Antonio;"No começo, eu entendia.
Mas era só cama, não tinha amor.
Lembro quando você dizia.
Vou desligar porque ela chegou.

E a gente foi se envolvendo, perdendo o medo.
Não tinha lugar e nem hora pra dar um beijo.
Coração não tá mais aceitando.
Só metade do seu: Te amo.

É uma ciumeira atrás da outra.
Ter que dividir seu corpo e a sua boca.
Tá bom que eu aceitei por um instante.
A verdade é que amante não quer ser amante.

É uma ciumeira atrás da outra.
Ter que dividir seu corpo e a sua boca.
Tá bom que eu aceitei por um instante.
A verdade é que amante não quer ser amante.
É uma ciumeira atrás da outra.

E a gente foi se envolvendo, perdendo o medo.
Não tinha lugar e nem hora pra dar um beijo.
Coração não tá mais aceitando.
Só metade do seu: Te amo.

É uma ciumeira atrás da outra.
Ter que dividir seu corpo e a sua boca.
Tá bom que eu aceitei por um instante.
A verdade é que amante não quer ser amante.

É uma ciumeira atrás da outra.
Ter que dividir seu corpo e a sua boca.
Tá bom que eu aceitei por um instante.
A verdade é que amante não quer ser amante.

É uma ciumeira atrás da outra.
Ter que dividir seu corpo e a sua boca.
Tá bom que eu aceitei por um instante.
A verdade é que amante não quer ser amante.
É uma ciumeira atrás da outra."
sertanejo;Marília Mendonça;Todos Os Cantos;2019;Sem Sal;Benício Neto,Junior Gomes,Vine Show,Renno,Vinicius Poeta;"Não aceitou o nosso fim.
Tá desesperado, falando de mim.
Tá me queimando por aí.
Meu nome na sua boca anda bem docin'.

E quem ouve palavra não ouve pensamento.
Tá se mordendo por dentro, tá se mordendo por dentro.
Cara amarrada não apaga sentimento.
Tá se mordendo por dentro, tá se mordendo por dentro.

Tá espalhando por aí que eu esfriei, que eu tô mal.
Que eu tô sem sal, realmente eu tô.
Sem saudade de você.
Eu já fiz foi te esquecer.

Tá espalhando por aí que eu esfriei, que eu tô mal.
Que eu tô sem sal, realmente eu tô.
Sem saudade de você.
Eu já fiz foi te esquecer.

E quem ouve palavra não ouve pensamento.
Tá se mordendo por dentro, tá se mordendo por dentro.
Cara amarrada não apaga sentimento.
Tá se mordendo por dentro, tá se mordendo por dentro.

Tá espalhando por aí que eu esfriei, que eu tô mal.
Que eu tô sem sal, realmente eu tô.
Sem saudade de você.
Eu já fiz foi te esquecer.

Tá espalhando por aí que eu esfriei, que eu tô mal.
Que eu tô sem sal, realmente eu tô.
Sem saudade de você.
Eu já fiz foi te esquecer.

Tá espalhando por aí que eu esfriei, que eu tô mal.
Que eu tô sem sal, realmente eu tô.
Sem saudade de você.
Eu já fiz foi te esquecer.
Sem saudade de você.
Eu já fiz foi te esquecer."
sertanejo;Marília Mendonça;Todos Os Cantos;2019;Bem Pior Que Eu;Gustavo Martins,Murilo Huff,Rafael Augusto,Ricardo Vismarck,Ronael;"Mente que vai dar uma volta e vem me ver.
Entre uma briga e outra de vocês.
Eu nem conheço ela, mas me sinto culpada.

Primeiro que eu nem devia tá aqui.
Segundo, cê não tinha que ligar pra mim.
Mas você ligou e eu atendi.
Eu penso: Não, mas falo: Sim.

Bem pior que eu, você.
Que não deixa ela, e nem deixa de me ver.
Bem pior que eu, você.
Desconta sua raiva em duas horas de prazer.

Bem pior que eu, você.
Que não deixa ela, e nem deixa de me ver.
Bem pior que eu, você.
Desconta sua raiva em duas horas de prazer.

Eu venho porque eu não tenho nada a perder.
Já você.

Primeiro que eu nem devia tá aqui.
Segundo, cê não tinha que ligar pra mim.
Mas você ligou e eu atendi.
Eu penso: Não, mas falo: Sim.

Bem pior que eu, você.
Que não deixa ela, e nem deixa de me ver.
Bem pior que eu, você.
Desconta sua raiva em duas horas de prazer.

Bem pior que eu, você.
Que não deixa ela, e nem deixa de me ver.
Bem pior que eu, você.
Desconta sua raiva em duas horas de prazer.

Eu venho porque eu não tenho nada a perder.
Já você.

Eu venho porque eu não tenho nada a perder.
Já você."
sertanejo;Marília Mendonça;Todos Os Cantos;2019;Casa da Mãe Joana (part. Henrique e Juliano);Elcio Di Carvalho,Thales Lessa,Victor Hugo;"Te deixei à vontade demais.
Ficou aberta a nossa relação.
E quando eu vi.
Escorregou entre os meus dedos.
Tava provando de outros beijos.

E pra minha surpresa.
Você pulou de tirolesa.
Na cama de quem só quer brincadeira.
E agora vem falar que foi fraqueza.

Meu coração não é casa da mãe Joana.
Pra você bagunçar igual cê faz na minha cama.
Respeita quem te ama.
Cê acha que me ilude.

Meu coração não é casa da mãe Joana.
Pra você bagunçar igual cê faz na minha cama.
Respeita quem te ama.
Cê acha que me ilude.
Ou vaza, ou me assume.

E pra minha surpresa.
Você pulou de tirolesa.
Na cama de quem só quer brincadeira.
E agora vem falar que foi fraqueza.

Meu coração não é casa da mãe Joana.
Pra você bagunçar igual cê faz na minha cama.
Respeita quem te ama.
Cê acha que me ilude.

Meu coração não é casa da mãe Joana.
Pra você bagunçar igual cê faz na minha cama.
Respeita quem te ama.
Cê acha que me ilude.
Ou vaza, ou me assume.

Meu coração não é casa da mãe Joana.
Pra você bagunçar igual cê faz na minha cama.
Respeita quem te ama.
Cê acha que me ilude.

Meu coração não é casa da mãe Joana.
Pra você bagunçar igual cê faz na minha cama.
Respeita quem te ama.
Cê acha que me ilude.
Ou vaza, ou me assume."
sertanejo;Marília Mendonça;Todos Os Cantos;2019;Bye Bye;Gustavo Martins,Murilo Huff,Rafael Augusto,Ricardo Vismarck,Ronael;"Já memorizei o seu corpo todo.
Pro caso da gente não se ver de novo.
Doa a quem doer, essa é a verdade.
Entre nós dois não cabe saudade.

Pra você, sou só mais uma carona.
No final de uma balada, me envolvi sabendo.
Somos dois estranhos numa cama temporária.
Fazendo amor, consciente que é só momento.
O quarto é grande, mas não cabe sentimento.

Vai doer demais.
Escutar o seu bye bye.
Depois do I love you.
Adeus pro seu corpo nu.

Vai doer demais.
Escutar o seu bye bye.
Depois do I love you.
Saber que seu corpo nunca mais vai ser meu.

Pra você, sou só mais uma carona.
No final de uma balada, me envolvi sabendo.
Somos dois estranhos numa cama temporária.
Fazendo amor, consciente que é só momento.
O quarto é grande mas não cabe sentimento.

Vai doer demais.
Escutar o seu bye bye.
Depois do I love you.
Adeus pro seu corpo nu.

Vai doer demais.
Escutar o seu bye bye.
Depois do I love you.
Saber que seu corpo nunca mais vai ser meu.

Vai doer demais.
Escutar o seu bye bye.
Depois do I love you.
Adeus pro seu corpo nu.

Vai doer demais.
Escutar o seu bye bye.
Depois do I love you.
Saber que seu corpo nunca mais vai ser meu.
Saber que seu corpo nunca mais vai ser meu."
sertanejo;Marília Mendonça;Todos Os Cantos;2019;Bebi Liguei;Philipe Pancadinha,Victor Hugo,Thales Lessa,Gabriel Agra;"Acordei mais uma vez embriagado.
E o seu cheiro impregnado na minha roupa.

Só ficou o resto do seu beijo na minha boca.
Você deu corda e o coração entrou na forca.
A minha saudade já tinha tomado um rumo na vida.
Mas desandou com a sua ligação perdida, ah.

Faltou coragem pra dizer que não.
Bebi, liguei, parei no seu colchão.
Chego apaixonado e saio arrependido.
Amar por dois só me dá prejuízo.

Faltou coragem pra dizer que não.
Bebi, liguei, parei no seu colchão.
Chego apaixonado e saio arrependido.
Amar por dois só me dá prejuízo.
Só me dá prejuízo.

Só ficou o resto do seu beijo na minha boca.
Você deu corda e o coração entrou na forca.
A minha saudade já tinha tomado um rumo na vida.
Mas desandou com a sua ligação perdida, ah.

Faltou coragem pra dizer que não.
Bebi, liguei, parei no seu colchão.
Chego apaixonado e saio arrependido.
Amar por dois só me dá prejuízo.

Faltou coragem pra dizer que não.
Bebi, liguei, parei no seu colchão.
Chego apaixonado e saio arrependido.
Amar por dois só me dá prejuízo.
Só me dá prejuízo.

Chego apaixonado e saio arrependido.
Amar por dois só me dá prejuízo.

Faltou coragem pra dizer que não.
Bebi, liguei, parei no seu colchão.
Chego apaixonado e saio arrependido.
Amar por dois só me dá prejuízo.
Só me dá prejuízo."
sertanejo;Marília Mendonça;Todos Os Cantos;2019;Passa Mal;DIEGO FERRARI,Everton Mattos,GUILHERME FERRAZ,Léo Sagga,PAULO PIRES,Ray Antonio,Sando Neto;"Quando me deixou, eu nem sonhava em terminar.
Da turma do cinema, eu passei pra turma do bar.
Daqueles que bebe só pra lembrar.
Depois chorar, chorar.

O tempo passou, passou.
Tudo mudou, mudou.
Da sua boca, eu já nem lembro do sabor.
Mundo girou, girou.
Girou, rodou, rodou.
Desaprendi a te chamar de meu amor.

Na minha vida, o seu coração serviu de degrau.
Te ver sofrendo não é bom, é sensacional.
Agora passa mal, agora passa mal, agora passa mal.

Na minha vida, o seu coração serviu de degrau.
Te ver sofrendo não é bom, é sensacional.
Agora passa mal, agora passa mal, agora passa mal.

O tempo passou, passou.
Tudo mudou, mudou.
Da sua boca, eu já nem lembro do sabor.
Mundo girou, girou.
Girou, rodou, rodou.
Desaprendi a te chamar de meu amor.

Na minha vida, o seu coração serviu de degrau.
Te ver sofrendo não é bom, é sensacional.
Agora passa mal, agora passa mal, agora passa mal.

Na minha vida, o seu coração serviu de degrau.
Te ver sofrendo não é bom, é sensacional.
Agora passa mal, agora passa mal, agora passa mal.

Na minha vida, o seu coração serviu de degrau.
Te ver sofrendo não é bom, é sensacional.
Agora passa mal, agora passa mal, agora passa mal."
sertanejo;Marília Mendonça;Todos Os Cantos;2019;Amigo Emprestado;Douglas Mello,Flávinho Tinto,Gustavo Martins,Nando Marx;"Será que eu tô vendo coisa?.
Eu sei, eu já bebi demais.
Mas ainda tô no meu normal.
Chegou um amigo dele ali.
E eu nem sei pra onde eu vou fugir.

Tá me mandando sinal.
Tentando uma aproximação.
Se é pra falar do ex, eu dispenso.
Mas pelo jeito que ele tá me olhando.
Ele que tá me querendo.

Se ele, que é amigo, tomou uma, esqueceu, imagina eu.
Que tô bebendo o dia inteiro aqui jogado.
Mandou sorriso e acertou meu ponto fraco.

Se ele, que é amigo, tomou uma, esqueceu, imagina eu.
É uma sofrendo, um querendo, os dois alcoolizados.
Eu tô pegando o seu amigo emprestado.

Tá me mandando sinal.
Tentando uma aproximação.
Se é pra falar do ex, eu dispenso.
Mas pelo jeito que ele tá me olhando.
Ele que tá me querendo.

Se ele, que é amigo, tomou uma, esqueceu, imagina eu.
Que tô bebendo o dia inteiro aqui jogado.
Mandou sorriso e acertou meu ponto fraco.

Se ele, que é amigo, tomou uma, esqueceu, imagina eu.
É uma sofrendo, um querendo, os dois alcoolizados.
Eu tô pegando o seu amigo emprestado.

Se ele, que é amigo, tomou uma, esqueceu, imagina eu.
Que tô bebendo o dia inteiro aqui jogado.
Mandou sorriso e acertou meu ponto fraco.

Se ele, que é amigo, tomou uma, esqueceu, imagina eu.
É uma sofrendo, um querendo, os dois alcoolizados.
Eu tô pegando o seu amigo emprestado."
sertanejo;Marília Mendonça;Todos Os Cantos;2019;Sabiá Cantou (part. Henrique e Juliano);Edu Valim;"Vai, deixa assim como está.
Qualquer coisa, cê toma um café.
Deixa assim, vem deitar.
Tá do jeitinho que você quer.
Pé no chão, sem lençol.
Nosso amor bagunçou seu cabelo.
Se perder o sono, a gente faz amor no banheiro.

Não dá tempo de chorar.
Mas se for pra chorar.
Chora quando for cantar comigo.
No idioma de outro país.
Nossa língua se prende.
Pena que a gente não entende o que diz.

Sabiá cantou.
Quantas noites dorme o nosso amor.
Passa o tempo devagar.
Nasceu o sol, curte a preguiça antes de acordar.

Sabiá cantou (cantou).
Quantas noites dorme o nosso amor.
Passa o tempo devagar.
Nasceu o sol, curte a preguiça antes de acordar.

Não dá tempo de chorar.
Mas se for pra chorar.
Chora quando for cantar comigo.
No idioma de outro país.
Nossa língua se prende.
Pena que a gente não entende o que diz.

Sabiá cantou.
Quantas noites dorme o nosso amor.
Passa o tempo devagar.
Nasceu o sol, curte a preguiça antes de acordar.

E sabiá cantou (cantou).
Quantas noites dorme o nosso amor.
Passa o tempo devagar.
Nasceu o sol, curte a preguiça antes de acordar.

Sabiá cantou.
Quantas noites dorme o nosso amor.
Passa o tempo devagar.
Nasceu o sol, curte a preguiça antes de acordar.

Sabiá cantou.
Quantas noites dorme o nosso amor.
Passa o tempo devagar.
Nasceu o sol, curte a preguiça antes de acordar.

E vai, deixa assim como está.
Qualquer coisa, cê toma um café."
sertanejo;Marília Mendonça;Todos Os Cantos;2019;Bebaça (part. Maiara e Maraisa);Gustavo Martins,Murilo Huff,Rafael Augusto,Ricardo Vismarck,Ronael;"Diz que aguenta bebida.
Tomou duas seguidas.
Perna bambeou.
Ainda não lembrou.
Vou refrescar sua memória.

Tentou agarrar o garçom.
Derrubou a caixa de som.
Pra variar, cê queimou a largada.
Tentou até ligar pro ex.
Pra sua sorte, eu não deixei.
Já tava tudo rodando, rodando.
Pediu outra rodada.

Amiga, cê tava bebaça.
Subindo na mesa, virando garrafa.
Amiga, cê tava bebaça.
Tomou tudo, tomou fora.
Só não tomou vergonha na cara.

Amiga, cê tava bebaça.
Subindo na mesa, virando garrafa.
Amiga, cê tava bebaça.
Tomou tequila, tomou cerveja.
Tomou tudo, tomou fora.
Só não tomou vergonha na cara.

Diz que aguenta bebida.
Tomou duas seguidas.
Perna bambeou.
Ainda não lembrou.
Vou refrescar sua memória.

Tentou agarrar o garçom.
Derrubou a caixa de som.
Pra variar, cê queimou a largada.
Tentou até ligar pro ex.
Pra sua sorte, eu não deixei.
Já tava tudo rodando, rodando.
Pediu outra rodada.

Amiga, cê tava bebaça.
Subindo na mesa, virando garrafa.
Amiga, cê tava bebaça.
Tomou tudo, tomou fora.
Só não tomou vergonha na cara.

Amiga, cê tava bebaça.
Subindo na mesa, virando garrafa.
Amiga, cê tava bebaça.
Tomou tequila, tomou cerveja.
Tomou tudo, tomou fora.
Só não tomou vergonha na cara.

Maiara, cê tava bebaça.
Subindo na mesa, virando garrafa.
Maiara, cê tava bebaça.
Tomou tudo, tomou fora.
Só não tomou vergonha na cara.

Marília, cê tava bebaça.
Subindo na mesa, virando garrafa.
Cê tava bebaça.
Tomou tequila, tomou cerveja.
Tomou tudo, tomou fora.
Só não tomou vergonha na cara."
