genero;cantor;album;ano;titulo_musica;compositor;letra
zouk;Suzanna Lubrano;King Ckwa - Ao Vivo No Campo Pequeno;2016;Spetxa One;;"You're the only one.
You're my special one.
Blue Light Song baby.
I love you.

I love you so much, you are the princess.
My beautiful woman, receive this beautiful man.
Coz tonight I just wanna be your man.
Your beautiful rasta man.
Coz you're my water, my food, my sun, my moon.

That's why I don't know what to do when you are not with me oh.
And my heart tells me to tell you how much I love you.
With all the love in the world.
With the bless of the Lord.
You're the only one.
My baby, my bolingo, my special one.

Ohh ohh ohh.
You are my my my.
You'ree the only one.
My baby, my bolingo, my special one.

Special one, special one.
Spetxa, spetxa, spetxa, spetxa.

You're my love ewe.
You are the woman of my life ewe.
(Baby baby baby).
Ain't nobody will love you the way I do.
(Come love me, Imma love ya).
You're my love ewe.
You are the woman of my life ewe.
Coz you're my water, my food, my sun, my moon.

That's why I don't know what to do when you are not with me oh.
And my heart tells me to tell you how much I love you.
With all the love in the world.
With the bless of the Lord.
You're the only one.
My baby, my bolingo, my special one.

Ohh ohh ohh.
You are my my my.
You'ree the only one.
My baby, my bolingo, my special one.

Special one, special one.
Spetxa, spetxa, spetxa, spetxa.

Cause I love you.
You know I really need you.
Cause I love you.
You know I really need you.

You are the only one.
You are the only one.
You are the only one.
You are the only one.
My baby, my bolingo, my special one.

My special one.

Ohh ohh ohh.
You are my my my.
You'ree the only one.
My baby, my bolingo, my special one.

Special one, special one.
Spetxa, spetxa, spetxa, spetxa."
zouk;Suzanna Lubrano;King Ckwa - Ao Vivo No Campo Pequeno;2016;Medley;;"Ainda não temos a letra desta música. .

 Quer <a href=""/contribuicoes/enviar_letra/c4-pedro/Medley/"">enviá-la agora</a> pra gente? =) ."
zouk;Suzanna Lubrano;King Ckwa - Ao Vivo No Campo Pequeno;2016;Bo Tem Mel (part. Nelson Freitas);;"It's like one plus one equals two.
You like me, I like you.
Been feeling for you girl.
I need you in my world.
You're so special my african queen.
I need you in my world yeah....

Bô te'm, 2, 4, cabeça pa bo girl.
N'cre sabe se bô tem um tempinho pa mi (um tempinho pa mi).
Nta levau, nta mostrau lugar.
E coisas que nunca bô oiá na bô vida.
Bô é doce, bô é doce, tão doce.
Es calor ku nta sinti pa bô nunca ntive el pa nenhum outro.
Lady oh no.
Bu te'm na bu mon (bu te'm na bu mon).

.
Bô tem mel.
Pa manera k bô te'm bô trás, girl bô tem mel.
Ka tem outro manera de explicá, oh bô tem mel.
Nes forma k bô ta dominan bô tem que tem mel.
Bô tem mel.

Amor tu mais eu é igual a ui ui.
Porque você tem mel e eu tenho boca louca.
Gosto quando você me toca.
A minha voz fica rouca amoreeeeeeeeee.
Manda mais beijo que eu quero.
Manda de novo, juro que eu não vou falar.
Manda aquele beijo que eu quero mais.
Juro que vai ficar entre nós.
Você pode mandar em mim.
Pra eu não ficar triste, pode até fingir,mama.
Pode fingir que me ama.
Give more kiss cause I wanna.
Give me again.
Juro I won't tell nobody.
Give just one more.
Você pede e eu dou, por ti sou louco.
Baby quem me aceita tem bom gosto.
Se tu sentires muito amor é porque você tem mel.

Pra me dominar assim só podes ter mel.
Pra enrolar a minha cabeça só podes ter mel.
E pra eu não parar de beijar a tua boca só podes ter mel.
Bô tem mel.

Bô te'm 2 4 cabeça pa bô girl.
N'cre sabe se bô tem um tempinho pa mi (um tempinho pa mi).
Nta levau, nta mostrau lugar.
E coisas que nunca bô oiá na bô vida.

Give more kiss cause I wanna.
Give me again.
Juro I won't tell nobody.
Give just one more.
Você pede e eu dou, por ti sou louco.
Baby quem me aceita tem bom gosto.
Se tu sentires muito amor é porque você tem mel.

Bô tem mel.
Pa manera ke bô te'm bô trás, bô tem mel.
Ka tem outro manera de explicá, bô tem mel.
Nes forma k bô ta dominan bô tem que tem mel.
""Bô tem que tem mel"".
Bô tem mel ""bô tem que tem mel"".
Porque você tem mel.
Pra me dominar assim só podes ter mel ""só podes ter mel"".
Pra enrolar a minha cabeça só podes ter mel ""só podes ter mel"".
E pra eu não parar de beijar a tua boca, só podes ter mel."
zouk;Suzanna Lubrano;King Ckwa - Ao Vivo No Campo Pequeno;2016;Homenagem;;"Ainda não temos a letra desta música. .

 Quer <a href=""/contribuicoes/enviar_letra/c4-pedro/Homenagem/"">enviá-la agora</a> pra gente? =) ."
zouk;Suzanna Lubrano;King Ckwa - Ao Vivo No Campo Pequeno;2016;Com Mulher Não Se Brinca;;"Vou falare pra quê?.
Vou falare pra quê?.

Minhas senhoras, por favor, levantem-se.

E ela.
Acordou mal disposta, com a cara trancada.
Hoje ela não vai cozinhar, eu vou comer na rua.
E eu vou evitar aquele boca boca.
Eu, sou macho e você mulher.
A razão é toda tua.

Vou falare pra quê?.
Vou falare pra quê?.
Se tás a pensar que eu vou contrariar.
Mulher, tás mal enganada ê.
Vou falare pra quê?.
Vou falare pra quê?.
Homem que é homem é aquele que sabe.
Que com mulher não se brinca.

E a coisa piora depois do almoço.
Eu voltei com sorriso no rosto de satisfação.
Ela perguntou: O que se passa?.
Respondi que a comida caiu bem wê.
Só piorei aquela situação, minha mãe!.

Vou falare pra quê?.
Vou falare pra quê?.
Se tás a pensar que eu vou contrariar.
Mulher, tás mal enganada, ê.
Vou falare pra quê?.
Vou falare pra quê?.
Homem que é homem é aquele que sabe.
Que com mulher não se brinca.

Perguntou: Comeste aonde?.
Eu respondi: Comi no restaurante ê.
No restaurante por que se você tem casa?.
Não respondi, só lhe olhei wê.
Mas parece piorei com a boca calada.

Vou falare pra quê?.
Vou falare pra quê?.
Se tás a pensar que eu vou contrariar.
Mulher, tás mal enganada ê.
Vou falare pra quê?.
Vou falare pra quê?.
Homem que é homem é aquele que sabe.
Que com mulher não se brinca.

Ai é, comeste bem?.
Saíste de lá satisfeito, né?.
Tenho o prazer de te anunciar, meu amor.
(Para tudo, para tudo).
Que vais comer lá sempre (vais comer la sempre).
Já que de mim não precisas.
Saberás porque que usou-se.
A imagem do homem pra o pensador.

Aiué.
Vou falar mais quê?.
(Vou falar mais que).

Vou falare pra quê?.
Vou falare pra quê?.
Se tás a pensar que eu vou contrariar.
Mulher, tás mal enganada ê.
Vou falare pra quê?.
Vou falare pra quê?.
Homem que é homem é aquele que sabe.
Que com mulher não se brinca.

Compadre.
Nunca que never, nunca que never.
Con mujer no se brinca, no.
Comadre, comadre.
Nunca que never, nunca que never.
Con mujer no se brinca, no.
(Tchau amigo!).
Con mujer no se brinca, no!."
zouk;Suzanna Lubrano;King Ckwa - Ao Vivo No Campo Pequeno;2016;Casamento;;"Contigo estou a casar.
Apesar de tudo.
Amor, quem nos viu e quem nos vê.
Ninguém pensou que isso ia durar .
Vamos festejar nossa origem.
Amor, me ama só.
Eu vou te amar até morrer.
Eu nunca vou te largar.
Mesmo no céu, nunca vou te esquecer.
Dança só.
Celebra nosso casamento.
Vou pisar no teu vestido.
Podes puxar na minha gravata.
Meu senhor tira foto.
Ela vai querer mostrar nas amigas.
Não tem porquê se enervar.
Amor, tu tás muito linda.

Amor, amor.
Estamos a casar.
Deus vai abençoar.
Nada de mal vai acontecer.

Amor, amor.
Estamos a casar.
Deus vai abençoar.
Nada de mal vai acontecer.

Amor, amor.
Estamos a casar.
Deus vai abençoar.
Nada de mal vai acontecer.

Contigo tou a casar.
É Graças a Deus é.
Muitos nos tentaram travar.
Mas o meu amor é maior.
Agora mais ninguém pode travar.
Amor, me dá um beijo.
Pra satisfazer o meu desejo.
Cuida bem de mim eu te peço.
Eu também vou fazer o mesmo.
Boa noite Padrinhos.
Obrigado por tudo.
A festa tá bonita.
Mas nada é mais lindo do que tu.
Eu te amo, amo.
Mulher, Mulher.
Agora me dá um sorriso.
Porque tás muito linda.

Amor, amor.
Estamos a casar.
Deus vai abençoar.
Nada de mal vai acontecer.

Amor, amor.
Estamos a casar.
Deus vai abençoar.
Nada de mal vai acontecer.

Amor, amor.
Estamos a casar.
Deus vai abençoar.
Nada de mal vai acontecer.

Tô feliz êh.

Amor, amor.
Estamos a casar.
Deus vai abençoar.
Nada de mal vai acontecer."
zouk;Suzanna Lubrano;King Ckwa - Ao Vivo No Campo Pequeno;2016;Som do Negão;;"Ainda não temos a letra desta música. .

 Quer <a href=""/contribuicoes/enviar_letra/c4-pedro/Som+do+Neg%C3%A3o/"">enviá-la agora</a> pra gente? =) ."
zouk;Suzanna Lubrano;King Ckwa - Ao Vivo No Campo Pequeno;2016;Robocop;;"Ainda não temos a letra desta música. .

 Quer <a href=""/contribuicoes/enviar_letra/c4-pedro/Robocop/"">enviá-la agora</a> pra gente? =) ."
zouk;Suzanna Lubrano;King Ckwa - Ao Vivo No Campo Pequeno;2016;Estragar (part. Agir);;"Eu tou na noite.
Em casa eu não estava bem.
Vim pra noite.
Ninguém discutiu com ninguém.
Mas estava meio estranho.
Um clima pesado.
Não sei como explicar.

Mas também não quero explicar.
Só sei que hoje vou me estragar.
Estragar, estragar, estragar.
Mas também não quero explicar.
Só sei que hoje vou me estragar.
Estragar, estragar, estragar.

Mas também não quero explicar.
Só sei que hoje vou me.

Já sei que vão me chamar de louco.
Quando eu voltar pra casa.
Mas enquanto isso eu peço um favor.
Abre a garrafa!.
Tá calor, me traz gelo, gelo.
E água pra molhar o cabelo.
Vodka me arrepia o pelo, pelo.

Mas eu não vou me explicar.
Só sei que hoje eu vou me estragar.
Estragar, estragar, estragar.
Mas também não quero explicar.
Só sei que hoje vou me estragar.
Estragar, estragar, estragar.

Mas também não quero explicar.
Só sei que hoje vou me.

Hoje tou tipo American.
Bué de garrafa, yes we can.
Nem sei quantas são.
Devem ser eight, nine ou ten.
Se daqui a pouco eu não estiver mais aqui não.
Procura na zona vip.
Eu estarei no meio do salão.

Porque eu vim me estragar.
Estragar, estragar, estragar.
Mas também não quero explicar.
Só sei que hoje vou me estragar.
Estragar, estragar, estragar.

Mas também não quero explicar.
Só sei que hoje vou me.

Eu estrago de entrada a zona vip.
Olho para a lady porque ela curte a minha onda.
Tipo que vai acontecer, ela transpira confiança.
A bela ai está com azar pois eu estou pronto pá matança.
Eu não sei o que dizer.
Eu sei que ela veio para aqui beber.
Isso só facilita.
Porque quando ela bebe.
Quando ela bebe ela fica crazy.
E eu não sei como explicar.
Eu amo essa lady, mas.

Mas também não quero explicar.
Só sei que hoje vou me estragar.
Estragar, estragar, estragar.
Mas também não quero explicar.
Só sei que hoje vou me estragar.
Estragar, estragar, estragar."
zouk;Suzanna Lubrano;King Ckwa - Ao Vivo No Campo Pequeno;2016;Quem Será (part. Big Nelo);;"Ainda não temos a letra desta música. .

 Quer <a href=""/contribuicoes/enviar_letra/c4-pedro/Quem+Ser%C3%A1+%28part.+Big+Nelo%29/"">enviá-la agora</a> pra gente? =) ."
